income,age,experience,married,house_ownership,car_ownership,state,current_job_years,risk_flag
4115644,74,7,single,rented,no,West_Bengal,7,0
6944134,59,5,single,owned,no,Karnataka,5,0
3520592,22,7,single,rented,no,Uttar_Pradesh,7,0
2533055,58,0,single,rented,no,Andhra_Pradesh,0,0
1798025,45,18,single,rented,no,Maharashtra,10,0
6979242,33,2,single,rented,no,Gujarat,2,0
2309585,31,7,married,rented,no,Uttar_Pradesh,7,0
8623686,27,5,single,rented,no,Odisha,5,0
2820916,38,3,single,rented,no,Telangana,3,0
752752,76,3,single,rented,no,Gujarat,3,0
1148139,27,9,single,rented,no,Andhra_Pradesh,5,0
2548584,42,13,single,rented,no,Tamil_Nadu,13,0
3480114,40,9,single,rented,yes,Bihar,9,0
1650754,78,8,single,rented,no,Haryana,8,0
6395781,23,18,single,rented,yes,Bihar,9,0
1006338,67,1,single,rented,yes,West_Bengal,1,0
5253114,50,7,single,owned,no,West_Bengal,7,0
3640062,37,10,single,rented,no,Telangana,10,0
7058393,68,11,single,rented,no,Haryana,11,0
1840139,74,6,single,rented,yes,Maharashtra,6,0
3168211,44,5,single,rented,no,Jharkhand,5,0
2295532,22,4,single,rented,yes,Maharashtra,4,0
6015769,32,12,single,rented,no,Maharashtra,7,0
2072988,61,16,single,rented,yes,Tamil_Nadu,14,0
1290762,62,15,single,rented,yes,Rajasthan,10,0
4908917,41,4,single,rented,yes,Andhra_Pradesh,4,0
3485052,74,11,single,rented,no,Maharashtra,11,0
6598959,38,14,single,rented,no,Rajasthan,11,0
8312895,35,12,single,rented,no,Bihar,11,0
8823596,57,2,single,rented,no,Andhra_Pradesh,2,0
5080987,44,20,single,rented,yes,Andhra_Pradesh,3,0
5832406,24,4,single,rented,yes,Maharashtra,4,0
951618,78,15,single,rented,no,Andhra_Pradesh,4,0
5047941,36,14,single,rented,no,Punjab,7,0
9082033,57,9,single,rented,no,West_Bengal,5,0
5544342,73,4,single,owned,no,Uttar_Pradesh,4,0
5945722,38,8,single,rented,no,West_Bengal,7,0
4244077,37,11,married,rented,no,Gujarat,11,0
2152214,50,14,single,rented,yes,Bihar,7,0
550542,33,11,single,rented,no,Uttarakhand,4,0
9048877,53,3,single,rented,no,Andhra_Pradesh,3,0
1291411,56,6,single,rented,no,Maharashtra,6,0
7349884,67,10,single,rented,no,Maharashtra,6,0
1005797,34,10,single,owned,no,Gujarat,10,0
8752035,38,18,single,rented,no,Andhra_Pradesh,14,0
8311237,54,17,single,rented,yes,Karnataka,11,0
5682930,56,16,single,rented,no,Andhra_Pradesh,8,0
9982186,50,11,single,rented,no,Bihar,11,0
145471,62,9,single,rented,no,Assam,9,0
2737185,63,19,single,owned,no,Rajasthan,13,0
275750,22,9,single,rented,no,Assam,9,0
7718952,60,1,single,rented,yes,Gujarat,1,0
8843763,21,17,single,rented,no,Andhra_Pradesh,14,0
645859,44,17,single,rented,no,Bihar,5,0
2808193,58,17,single,rented,no,West_Bengal,10,0
2780996,72,4,single,rented,no,Andhra_Pradesh,4,0
2050096,42,1,single,rented,no,Delhi,1,0
2707807,35,12,single,rented,no,Maharashtra,4,0
4112102,46,15,single,rented,no,Karnataka,5,0
4088166,40,7,single,rented,no,Maharashtra,7,0
7239804,38,9,single,rented,no,Tamil_Nadu,9,0
7716359,70,0,single,rented,no,Rajasthan,0,0
41719,31,2,single,rented,no,Rajasthan,2,0
9328856,77,7,single,rented,no,Maharashtra,7,0
2385302,69,10,single,rented,yes,Haryana,8,0
7369452,45,5,single,rented,no,Maharashtra,5,0
8049089,60,18,single,rented,no,Uttar_Pradesh,5,0
3169163,59,2,married,rented,no,Rajasthan,2,0
1525405,72,9,single,rented,no,Uttar_Pradesh,9,0
3528671,72,2,single,rented,no,Gujarat,2,0
5028396,38,16,single,rented,no,Uttar_Pradesh,4,0
9704228,45,14,single,rented,no,Uttar_Pradesh,3,0
5923212,57,2,single,rented,yes,Rajasthan,2,0
6108808,76,16,married,rented,no,Haryana,3,0
1648740,77,14,single,rented,no,Rajasthan,6,0
8978055,60,9,single,rented,no,Haryana,9,0
4631897,73,4,married,rented,yes,West_Bengal,4,0
5734106,22,3,single,rented,no,Andhra_Pradesh,3,0
3917355,79,18,single,norent_noown,yes,Uttar_Pradesh,3,0
4786725,24,11,single,rented,no,Uttar_Pradesh,7,0
72998,51,16,single,rented,no,Bihar,13,0
8089960,64,11,single,rented,no,West_Bengal,11,0
4528558,75,2,single,rented,yes,Maharashtra,2,0
1582091,23,6,single,rented,yes,West_Bengal,6,0
996901,68,9,married,rented,no,Karnataka,6,0
2662346,27,17,single,rented,no,Maharashtra,8,0
145471,62,9,single,rented,no,Assam,9,0
8817634,22,1,single,rented,no,Punjab,1,0
2740172,72,16,single,rented,no,Delhi,10,0
5660425,55,3,single,rented,no,Tamil_Nadu,3,0
9533689,61,6,married,rented,no,West_Bengal,4,0
424512,60,16,single,rented,no,Madhya_Pradesh,5,0
3606323,33,0,single,rented,yes,Assam,0,0
2300760,73,12,single,rented,yes,Maharashtra,7,0
8830162,77,18,single,rented,no,Uttar_Pradesh,14,0
2824175,54,0,single,rented,no,West_Bengal,0,0
3693362,57,15,single,rented,no,Maharashtra,11,0
1728444,66,10,single,rented,yes,Uttar_Pradesh,10,0
96682,52,16,married,rented,no,Gujarat,11,0
1707111,53,5,single,rented,no,Kerala,5,0
8801121,26,0,single,rented,yes,Uttar_Pradesh,0,0
6051217,48,20,single,owned,no,Andhra_Pradesh,7,0
7945384,35,19,single,rented,yes,Andhra_Pradesh,11,0
3713726,56,16,single,rented,no,West_Bengal,7,0
1893263,61,12,single,rented,no,Puducherry,7,0
7861257,39,7,single,rented,yes,Uttar_Pradesh,7,0
5152202,78,10,single,rented,no,Gujarat,10,0
7364088,74,5,single,rented,no,Manipur,5,0
1713011,41,5,single,rented,no,Gujarat,5,0
7477502,28,14,single,rented,no,Jharkhand,11,0
5988378,24,9,single,rented,no,Tamil_Nadu,5,0
4097238,53,5,single,rented,no,Odisha,5,0
7429005,69,2,married,rented,no,Gujarat,2,0
1591909,71,17,married,rented,no,Uttar_Pradesh,4,0
7947428,33,17,single,rented,no,Maharashtra,7,0
2087335,27,1,single,rented,yes,Karnataka,1,0
84951,48,3,married,rented,yes,Bihar,3,0
9510617,43,10,single,rented,no,Bihar,7,0
9543081,38,4,single,rented,no,Odisha,4,0
3261742,36,11,single,rented,no,Maharashtra,4,0
1040029,46,5,single,rented,yes,Mizoram,5,0
5408156,77,2,single,rented,no,Jharkhand,2,0
4460536,26,18,single,rented,no,Maharashtra,9,0
3860926,49,1,single,rented,no,Assam,1,0
3762078,27,11,single,rented,no,Karnataka,9,0
5381739,76,15,single,rented,no,Odisha,9,0
170128,29,17,single,rented,no,Haryana,12,0
5194869,59,15,single,rented,no,Maharashtra,10,0
7816158,44,8,single,rented,no,Maharashtra,8,0
4644109,52,14,single,rented,no,Tamil_Nadu,6,0
8823581,27,15,single,rented,no,Madhya_Pradesh,10,0
521887,63,20,single,rented,yes,Madhya_Pradesh,9,0
9604465,45,12,married,rented,yes,Himachal_Pradesh,6,0
4227899,59,5,married,rented,no,West_Bengal,5,0
3939397,52,19,single,rented,yes,Tamil_Nadu,3,0
9516616,51,0,single,rented,no,West_Bengal,0,0
7450646,55,19,single,rented,yes,Gujarat,4,0
